true_class,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12
0,287642,0,109958,595904,0,600096,0,15201,0,0,10296,228663,100
1,36,99272614,1387359,1217,5681,6383249,53398,463166,1200,0,295002,11804700,9898
2,50346,315823,372614282,291932,286355,54390694,611713,1411574,421400,11686,8041438,51578596,202550
3,2231750,1805,370664,287968829,0,8792958,54327,79970,17,0,7738,6122006,15422
4,0,5573,100503,0,57684441,1701318,5300,22342,551237,7956,1240390,718063,6175
5,110696,484123,36623419,5576573,2087856,308973219,915676,1810977,793699,48274,10034172,42362537,344604
6,23196,10834,2164091,69234,41732,1971113,21014269,1086099,30883,705,81936,48968470,494075
7,171041,6224939,16152102,527133,29033,66310867,5144931,178708840,252262,4799,46388,115793036,22704
8,0,917,398582,11,821193,1482038,3405,56771,315813782,22453,615217,3766512,165
9,0,0,114732,0,2481471,1258098,808,3758,87879,3389470,472441,421323,6
10,0,11968,2385176,0,1066114,8578209,65727,20765,596238,2713,131285256,3575004,1409
11,3092946,4129972,8742827,1270883,473412,38181733,15219517,6283332,751914,12081,838935,1381862381,5159789
12,5473,465798,888436,278307,14543,3879967,1000655,14340097,397886,214,100629,36281785,116193985
