true_class,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12
0,222930,0,28964,685183,0,789325,16,3694,85,0,78,117550,35
1,64,98899117,1086241,2687,6419,7981367,34085,315038,5093,0,472661,10864870,9878
2,17001,126785,384824607,162448,425827,52300899,316922,1337585,417075,27384,5779551,44384150,108155
3,1921461,657,643522,290285155,6,6280290,70646,77560,285,0,0,6346233,19671
4,0,3360,119688,31,57002195,2464279,9199,18767,483732,10696,1252394,669092,9865
5,37536,351918,36757570,7226760,2337100,307589264,841351,2069645,724419,80954,9617355,42046896,485057
6,19011,22183,3616842,103772,33360,2557467,23096393,605384,33031,942,94561,45427575,346116
7,160949,7077272,27829827,466395,31612,72825709,3284247,187135690,221643,770,44133,90279939,29889
8,0,192,488855,6,884367,1483522,5508,66233,315353227,33562,733443,3931522,609
9,0,0,127322,0,1655663,1718025,268,2952,55632,3523809,701996,444319,0
10,0,1496,4310412,15,1006420,9339617,44139,18932,909549,8266,128456849,3491919,965
11,2417118,4312560,10488603,1476570,445449,40688256,10948760,5712948,728617,11789,697423,1382783830,5307799
12,2080,426932,1982720,310494,13153,8686110,457694,14828132,407795,323,84193,31177780,115470369
