true_class,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12
0,25983,21,712,326659,0,862934,0,197,0,0,853,630501,0
1,593,98537485,942138,7855,7095,5876944,138653,194950,25252,0,482569,13456930,7056
2,45798,480103,360682277,262134,382083,62638886,278718,1924678,789164,5959,8172459,54495569,70561
3,1295756,9092,209912,287946104,85,7825310,54300,168063,4648,0,10686,8097587,23943
4,0,30735,137997,59,54755942,2896341,5126,20092,959583,19580,2101095,1073348,43400
5,155652,1231078,33286876,8390814,2523614,298862898,396223,1798063,1357327,20528,12504822,49445159,192771
6,134946,28388,2445765,239783,52818,3972238,12551207,297759,78450,2033,96682,55500449,556119
7,338769,9072535,13970366,516574,67509,91401398,1631676,133964387,795607,2065,61104,137544024,22061
8,19,1269,443736,143,1405235,1894577,3221,88948,313617564,12190,841303,4672579,262
9,0,320,150627,0,3288473,1457359,580,6648,144847,1987015,524877,669240,0
10,0,25131,3872784,2,1480425,12194509,37572,23219,1025331,1497,124395237,4519937,12935
11,2382837,4716583,15159693,3060343,717486,55682348,9812255,8578359,1832658,34584,1236940,1358323197,4482439
12,1976,558550,1260387,477835,24280,12445870,324293,11187552,387569,15,101855,37363418,109714175
